isbn,title,site,url_checked,current_availability,stock_qty_if_known,current_price,existing_availability_before,status_note,checked_at
9780349148618,Guilt: by the million-copy bestselling author of The Devotion of Suspect X,champaca,https://champaca.in/products/guilt,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:21Z
9780670095506,Dalit Women and the Fullness of Life,champaca,https://champaca.in/products/dalit-women-and-the-fullness-of-life,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:21Z
9780674303362,The Color of North : The Molecular Language of Proteins and the Future of Life,champaca,https://champaca.in/products/the-color-of-north,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:21Z
9780674307834,A World of Resistance : India and the Global Antibiotic Crisis,champaca,https://champaca.in/products/a-world-of-resistance-india-and-the-global-antibiotic-crisis,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:21Z
9780143473268,"Half Light: Queer Contemporary Fiction of Forbidden Love, Desire, and Secrets | LGBTQ Books in India | Indian Literary Fiction on Identity and Hope",champaca,https://champaca.in/products/half-light,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:22Z
9780143475828,Real Life,champaca,https://champaca.in/products/real-life-1,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:22Z
9780143477730,A Guardian and a Thief by Megha Majumdar: Oprah Winfrey’s Book Club Pick | Longlisted for the National Book Award | Finalist for the Kirkus Prize,champaca,https://champaca.in/products/a-guardian-and-a-thief,Out of Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:22Z
9780143478645,New Writing in India,champaca,https://champaca.in/products/new-writing-in-india,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:22Z
9780670096329,"The Best of Urdu Short Stories: A Definitive Collection of Classic and Contemporary Urdu Fiction by Premchand, Manto, Intizar Husain & More",champaca,https://champaca.in/products/the-best-of-urdu-short-stories,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:22Z
9780674301405,The Buddha's Path to Awakening (Murty Classical Library of India),champaca,https://champaca.in/products/the-buddhas-path-to-awakening-murty-classical-library-of-india,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:23Z
9781250477552,"Custodians of Wonder:Ancient Customs, Profound Traditions, and the Last People Keeping Them Alive",champaca,https://champaca.in/products/custodians-of-wonder-ancient-customs-profound-traditions-and-the-last-people-keeping-them-alive,Out of Stock,,699.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:23Z
9788195716173,Beyond the Stethoscope: A Doctor’s Calling,champaca,https://champaca.in/products/beyond-the-stethoscope-a-doctor-s-calling,Out of Stock,,500.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:23Z
9788198958334,How Robots Stole Our Jobs: Struggles of Suzuki Workers in the Age of AI,champaca,https://champaca.in/products/how-robots-stole-our-jobs-struggles-of-suzuki-workers-in-the-age-of-ai,In Stock,,495.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:23Z
9780143467540,"A-Z of Indian History: 80 Fun Stories from Ancient India to Independence | Cool Trivia, Bright Full-Coloured Illustrations | Ages 10+",champaca,https://champaca.in/products/a-z-of-indian-history,Out of Stock,,599.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:23Z
9780143469315,Colombo: Port of Call,champaca,https://champaca.in/products/colombo-port-of-call,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:24Z
9780143475460,Daktarin Jamini Sen The Extraordinary Life of British India’s First Woman Doctor,champaca,https://champaca.in/products/daktarin-jamini-sen,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:24Z
9780143476566,When Birds Talked: Folklore of the Hills,champaca,https://champaca.in/products/when-birds-talked-folklore-of-the-hills,Out of Stock,,599.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:24Z
9780143478638,Stain,champaca,https://champaca.in/products/stain,Out of Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:24Z
9780143480686,"Gods, Guns & Missionaries: The Making of the Modern Hindu Identity",champaca,https://champaca.in/products/gods-guns-missionaries-1,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:24Z
9780241667828,Unstoppable Us Volume 2,champaca,https://champaca.in/products/unstoppable-us-volume-2-why-the-world-isnt-fair,Out of Stock,,599.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:25Z
9781250389893,Worlds I See,champaca,https://champaca.in/products/worlds-i-see,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:25Z
9789390514595,The Feminisms of Our Mothers,champaca,https://champaca.in/products/the-feminisms-of-our-mothers,In Stock,,595.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:25Z
9788182911246,Lest We Forget History,champaca,https://champaca.in/products/lest-we-forget-history-tracing-communal-violence-in-gujarat-2002,Out of Stock,,300.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:25Z
9789385523229,India and the West - The First Encounters RARE BOOKS,champaca,https://champaca.in/products/india-and-the-west,Out of Stock,,299.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:25Z
9780008761905,The Persians,champaca,https://champaca.in/products/the-persians,Out of Stock,,550.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:26Z
9789387103184,10 Indian Monarchs Whose Amazing Stories You May Not Know,champaca,https://champaca.in/products/10-indian-monarchs-whose-amazing-stories-you-may-not-know,Out of Stock,,200.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:26Z
9788190737777,Jeena Hai To Marna Seekho: The Life and Times of George Reddy,champaca,https://champaca.in/products/jeena-hai-to-marna-seekho-the-life-and-times-of-george-reddy,Out of Stock,,150.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:26Z
9788196454722,Industrial Safety Analyses (English),champaca,https://champaca.in/products/daak-cheeky-postcard-lets-get-this-party-started,Out of Stock,,150.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:26Z
9788193562093,Information System in Public Administration,champaca,https://champaca.in/products/bookmark-set-women-of-india,In Stock,,120.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:26Z
9781529986204,NOBODY'S GIRL,champaca,https://champaca.in/products/nobodys-girl-a-memoir-of-surviving-abuse-and-fighting-for-justice,In Stock,,1099.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:27Z
9781472160829,Python's Kiss: Stories,champaca,https://champaca.in/products/pythons-kiss,In Stock,,799.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:27Z
9781405981392,Don’t Burn Anyone at the Stake Today,champaca,https://champaca.in/products/don-t-burn-anyone-at-the-stake-today,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:27Z
9780670093052,"City Limits: The Crisis of Urbanization | Essays on India’s Urban Planning Challenges | Expert Perspectives on Inequality, Infrastructure, Sustainability & More",champaca,https://champaca.in/products/city-limits-the-crisis-of-urbanization,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:27Z
9781805226550,The Hormone Loop: Understanding Your Body from Puberty to Menopause and Beyond,champaca,https://champaca.in/products/the-hormone-loop-understanding-your-body-from-puberty-to-menopause-and-beyond,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:27Z
9789377300814,Once Elephants Lived Here,champaca,https://champaca.in/products/once-elephants-lived-here,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:28Z
9780143474913,"Kaayaa: A Powerful Contemporary Fiction on Beauty, Identity & the MeToo Fallout | A Satirical, Thought-Provoking Story of a Plastic Surgeon Caught in Power & Politics",champaca,https://champaca.in/products/kaayaa,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:28Z
9781529447613,If We Cannot Go at the Speed of Light: the groundbreaking short story collection and Korean bestseller from superstar Kim Choyeop,champaca,https://champaca.in/products/if-we-cannot-go-at-the-speed-of-light,In Stock,,550.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:28Z
9788194088493,Asomiya Sahityar Buranji,akshardhara,https://akshardhara.com/products/9781444954067-secret-seven-set,In Stock,,2610.00 INR,,matched catalog product via slug,2026-07-16T10:54:39Z
9788190409261,Śikshā ke kshetra meṃ bhāshā kā savāla,akshardhara,https://akshardhara.com/products/nek-namdaar-gokhale,In Stock,,1080.00 INR,,matched catalog product via slug,2026-07-16T10:54:39Z
9788192812656,KAMMUNIST KALAKARANMAR ENTHU CHEYYANAM,akshardhara,https://akshardhara.com/products/9788195012732-sampurna-sherlock-holmes,Out of Stock,,1080.00 INR,,matched catalog product via slug,2026-07-16T10:54:39Z
9788195133628,Marvel Physics,akshardhara,https://akshardhara.com/products/9780062312686-the-intelligent-investor,In Stock,,809.10 INR,,matched catalog product via slug,2026-07-16T10:54:39Z
9788190907088,"Global Mobile Satelite Communication [Hardcover] [Jan 01, 2010] Dr Suresh Chandra",akshardhara,https://akshardhara.com/products/9788171858927-dr-babasaheb-ambedkar,In Stock,,720.00 INR,,matched catalog product via slug,2026-07-16T10:54:40Z
9788199313279,Indiannica Learning English Bells An Enriching Course in English Language Coursebook 8,akshardhara,https://akshardhara.com/products/9788194816232-maratha-kulancha-itihas,Out of Stock,,720.00 INR,,matched catalog product via slug,2026-07-16T10:54:40Z
9788190671903,Reading Against The Orientalist Grain: Performance And Politics Entwined With A Buddhist Strain,akshardhara,https://akshardhara.com/products/2061-marathi-natak-natakkar-kaal-ani-kartrutva,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:40Z
9788192252445,Ḍô. Saralā Agravāla : vyaktitva kī rekhāem̐ kr̥titva ke raṅga,akshardhara,https://akshardhara.com/products/dr-fumanchyu,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:40Z
9788194887409,Introductory Microeconomics and Macroeconomics,akshardhara,https://akshardhara.com/products/use-of-force-युज-ऑफ-फोर्स,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:40Z
9788195136872,Rishton ki saugat,akshardhara,https://akshardhara.com/products/9788172949570-sanskrut-prakrut-marathi-bhashavidnyan-1,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:41Z
9788196405083,Pothu Civil Sattam பொது சிவில் சட்டம்,akshardhara,https://akshardhara.com/products/shritukaram-maharajanchi-sarth-gath-श्रीतुकाराम-महाराजांची-सार्थ-गाथा,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:41Z
9788198047519,Sanlaap,akshardhara,https://akshardhara.com/products/god0014-lokarangabhumi,In Stock,,630.00 INR,,matched catalog product via slug,2026-07-16T10:54:41Z
9788190111027,Banda Bahadur: Betrayed by his Lieutenants,akshardhara,https://akshardhara.com/products/longstone,In Stock,,629.10 INR,,matched catalog product via slug,2026-07-16T10:54:41Z
9788194528418,Bhoomi Taayiya Ulisiri Neevu Uliyiri,akshardhara,https://akshardhara.com/products/vimuktayan,In Stock,,594.00 INR,,matched catalog product via slug,2026-07-16T10:54:41Z
9788195373871,Krushna - कृष्णा,akshardhara,https://akshardhara.com/products/9788184834888-tinker-tailor-soldier-spy,In Stock,,585.00 INR,,matched catalog product via slug,2026-07-16T10:54:42Z
9788190895941,Nagri ka nagara : Zamin ki raksha ke liye adivasyon ka sangharsh = struggle of tribes to save land in Nagri area,akshardhara,https://akshardhara.com/products/kalpvruksh-purvardha-कल्पवृक्ष-पूर्वार्ध,Out of Stock,,535.50 INR,,matched catalog product via slug,2026-07-16T10:54:42Z
9788192720005,VoLT: Vocabulary Learning Techniques: Volume 1,akshardhara,https://akshardhara.com/products/balivansh-बळीवंश-by-dr-a-h-salunkhe,In Stock,,540.00 INR,,matched catalog product via slug,2026-07-16T10:54:42Z
9788192882918,காலேஜ் ப்ராஜெக்ட் : [மாணவர் முன்னேற்ற நூல்],akshardhara,https://akshardhara.com/products/dharanimaay-धरणीमाय,In Stock,,540.00 INR,,matched catalog product via slug,2026-07-16T10:54:42Z
9788193293270,Manual of Specification and Standards for Expressways (IRC:SP:99-2013),akshardhara,https://akshardhara.com/products/23879-winston-churchil,In Stock,,540.00 INR,,matched catalog product via slug,2026-07-16T10:54:42Z
9788193539408,Leading edge Educational Technology,akshardhara,https://akshardhara.com/products/21665-stri-likhit-marathi-kadambari-1950-te-2010,In Stock,,510.00 INR,,matched catalog product via slug,2026-07-16T10:54:43Z
9788196463250,Vyakti- Shakti (ವ್ಯಕ್ತಿ-ಶಕ್ತಿ),akshardhara,https://akshardhara.com/products/10674-nabha-akramile,In Stock,,480.00 INR,,matched catalog product via slug,2026-07-16T10:54:43Z
9788199164291,The 5th India Pakistan War Operation Sindoor An Open Source Analysis,akshardhara,https://akshardhara.com/products/aacharya-आचार्य-by-rajiv-patel,Out of Stock,,510.00 INR,,matched catalog product via slug,2026-07-16T10:54:43Z
9788190716352,Purano Main Paryavaran Shiksha,akshardhara,https://akshardhara.com/products/my-next-breath,In Stock,,539.00 INR,,matched catalog product via slug,2026-07-16T10:54:43Z
9788197817823,Artificial Intelligence,akshardhara,https://akshardhara.com/products/108-management-sutras-for-inspiration-insights-from-indian-scriptures,In Stock,,479.20 INR,,matched catalog product via slug,2026-07-16T10:54:43Z
9788192450100,"Himālaya putra, Hemavatī Nandana Bahuguṇā",akshardhara,https://akshardhara.com/products/loksatta-agralekh-2017-2024-लोकसत्ता-अग्रलेख-२०१७-२०२४,In Stock,,535.50 INR,,matched catalog product via slug,2026-07-16T10:54:44Z
9788192367583,Rabindranather Probondho Sahitte Somajbhabna,akshardhara,https://akshardhara.com/products/9788171852710-dohakalima,In Stock,,472.50 INR,,matched catalog product via slug,2026-07-16T10:54:44Z
9788190288385,"NGOs, EDUCATION AND SOCIAL CAPITAL: A MICRO STUDY OF TRIBALS",akshardhara,https://akshardhara.com/products/9789353171193-nagasaki,In Stock,,360.00 INR,,matched catalog product via slug,2026-07-16T10:54:44Z
9788192409023,Kubernath Ray,akshardhara,https://akshardhara.com/products/30254-2014-deshacha-chehara-badalnari-nivadnuk,In Stock,,360.00 INR,,matched catalog product via slug,2026-07-16T10:54:44Z
9788192450896,Tamil Nagaregathirku Enna Ethirkalam,akshardhara,https://akshardhara.com/products/9789392374449-samarthanchi-olakh,In Stock,,320.00 INR,,matched catalog product via slug,2026-07-16T10:54:44Z
9788193663158,Undertstanding Taxes in India,akshardhara,https://akshardhara.com/products/reminiscences-of-tangar-ter,In Stock,,400.00 INR,,matched catalog product via slug,2026-07-16T10:54:45Z
9788197360084,Brief History of Drones: A Comprehensive Guide Book,akshardhara,https://akshardhara.com/products/var0040-goshta-paisa-phandachi,Out of Stock,,320.00 INR,,matched catalog product via slug,2026-07-16T10:54:45Z
9788190088732,PAEDIATRICS,akshardhara,https://akshardhara.com/products/utkrusth-engraji-kase-bolave-aani-lihave-उत्कृष्ट-इंग्रजी-कसे-बोलावे-आणि-लिहावे-भाग-१-२-३,In Stock,,339.15 INR,,matched catalog product via slug,2026-07-16T10:54:45Z
9788190147507,"Information and Communication Technologies and Development : New Opportunities, Perspectives and Challenges",akshardhara,https://akshardhara.com/products/16265-prem-sparsha-aani-aakarshan,In Stock,,339.15 INR,,matched catalog product via slug,2026-07-16T10:54:45Z
9788194410669,Standard Mathematics-3,akshardhara,https://akshardhara.com/products/all-time-favourite-friendship-stories,In Stock,,359.00 INR,,matched catalog product via slug,2026-07-16T10:54:45Z
9788194604570,GRB A TEXT BOOK OF INORGANIC CHEMISTRY FOR NEET - EXAMINATION 2020-21,akshardhara,https://akshardhara.com/products/26929-sakaratmak-vicharanche-samrthya,In Stock,,359.10 INR,,matched catalog product via slug,2026-07-16T10:54:46Z
9788194798095,The Circumstantial Doctor - An Autobiography - Dr Riaz Mehdi,akshardhara,https://akshardhara.com/products/9789392121227-samanyaniti,In Stock,,359.10 INR,,matched catalog product via slug,2026-07-16T10:54:46Z
9788194827924,Voices beyond silence : issues and insights,akshardhara,https://akshardhara.com/products/business-school-बिज़नेस-स्कूल,In Stock,,359.10 INR,,matched catalog product via slug,2026-07-16T10:54:46Z
9788194912200,"Real Life Mathematics Class 3 Semester 1, Educational Textbook",akshardhara,https://akshardhara.com/products/satvashil-सत्वशील,In Stock,,339.15 INR,,matched catalog product via slug,2026-07-16T10:54:46Z
9788195641529,Khauchher Khawhar,akshardhara,https://akshardhara.com/products/yugapravartak-chatrapati-shivaji-maharaj,In Stock,,359.10 INR,,matched catalog product via slug,2026-07-16T10:54:46Z
9788196259068,Gumshuda Ki Talaash,akshardhara,https://akshardhara.com/products/bharatiy-bhashanchi-anokhi-kahani-भारतीय-भाषांची-अनोखी-कहाणी,In Stock,,339.15 INR,,matched catalog product via slug,2026-07-16T10:54:47Z
9788190973472,Dekh Loon To Chaloon,akshardhara,https://akshardhara.com/products/9789381351703-jyotiparva,Out of Stock,,342.00 INR,,matched catalog product via slug,2026-07-16T10:54:47Z
9788194525523,Child Health Nursing for ANM (Hindi Edition),akshardhara,https://akshardhara.com/products/deshopnishdantil-geetadharma-देशोपनिषदांतील-गीताधर्म,In Stock,,337.50 INR,,matched catalog product via slug,2026-07-16T10:54:47Z
9788196184889,Manto ka Usloob,akshardhara,https://akshardhara.com/products/arte-na-parte-अरतें-ना-परतें,In Stock,,337.50 INR,,matched catalog product via slug,2026-07-16T10:54:47Z
9788190691864,Social Stratification and Change,akshardhara,https://akshardhara.com/products/30839-shivarayanchi-yuddhaniti,Out of Stock,,306.00 INR,,matched catalog product via slug,2026-07-16T10:54:47Z
9788193613801,Social Problems,akshardhara,https://akshardhara.com/products/satasamudrapalikade-सातासमुद्रापलीकडे,In Stock,,288.00 INR,,matched catalog product via slug,2026-07-16T10:54:48Z
9788192642246,Birodhabhaser Onyo Rabi,akshardhara,https://akshardhara.com/products/boo0008-id-na-mam,In Stock,,450.00 INR,,matched catalog product via slug,2026-07-16T10:54:48Z
9788194133926,Body Burden : Antibiotic Resistance : State Of India's Health [Paperback] Sunita Narain & Others Editors,akshardhara,https://akshardhara.com/products/pahat-hasali-punha,In Stock,,450.00 INR,,matched catalog product via slug,2026-07-16T10:54:48Z
9788194222927,Book Magic Firefly English Workbook Class - 5,akshardhara,https://akshardhara.com/products/9789393134509-keralamadhil-samajik-chalaval-ani-dalit-sahitya,In Stock,,500.00 INR,,matched catalog product via slug,2026-07-16T10:54:48Z
9788190212366,Jīvana evaṃ naitika ācaraṇa,akshardhara,https://akshardhara.com/products/shivaratna-shiva-kashid-शिवरत्न-शिवा-काशीद,In Stock,,449.10 INR,,matched catalog product via slug,2026-07-16T10:54:49Z
9788190502443,Aadhya Prakashan Advanced Tax Laws and Practice for CS Final By Yogendra Bangar and Vandana Bangar Applicable For June 2018 Exam,akshardhara,https://akshardhara.com/products/9789356290686-the-oath-of-the-vayuputras,In Stock,,424.15 INR,,matched catalog product via slug,2026-07-16T10:54:49Z
9788194702092,PAKISTANER PATRA,akshardhara,https://akshardhara.com/products/9789388689458-love-without-a-story,In Stock,,449.10 INR,,matched catalog product via slug,2026-07-16T10:54:49Z
9788195139941,Pākistān̲ kaṇṭa Mukamatuali Jin̲n̲ā,akshardhara,https://akshardhara.com/products/body-language-pehchane-sharir-ki-bhasha-बॉडी-लैंग्वेज-पहचानिये-शरीर-की-भाषा,In Stock,,449.10 INR,,matched catalog product via slug,2026-07-16T10:54:49Z
9788197665264,Zebralearn Mathematics Class 9th | Learn Maths with Real Life Examples | Zebra Learn Books,akshardhara,https://akshardhara.com/products/atomic-habits-marathi,In Stock,,449.10 INR,,matched catalog product via slug,2026-07-16T10:54:49Z
9788190501231,A Resource Pack on Gender Transformative Evaluations,akshardhara,https://akshardhara.com/products/baalsangopan-shikshan-aani-sanskar-बालसंगोपन-शिक्षण-आणि-संस्कार,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:50Z
9788190674157,Patayekram vikas | All UP state B.Ed. Universities,akshardhara,https://akshardhara.com/products/9788190874335-prerana,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:50Z
9788190795883,: New Bhavas in Modern Sanskrit Literature,akshardhara,https://akshardhara.com/products/che-guevara-चे-ग्वेरा,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:50Z
9788192018331,Karnataka economy : Contemporary issues,akshardhara,https://akshardhara.com/products/9789352203130-j-r-d-tata-tata-parvatil-suvarnakal,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:50Z
9788192297705,QP CO. ESSENTIAL OF ENDODONTICS,akshardhara,https://akshardhara.com/products/9789393134370-majhi-sansadetil-bhashane,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:50Z
9788192343600,Beyond Pipes & Dreams - The Life Of Vithal Balkrishna Gandhi,akshardhara,https://akshardhara.com/products/9789395073110-the-pcod-thyroid-book,In Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:51Z
9788192521305,Rgveda Samhita 6 Vols,akshardhara,https://akshardhara.com/products/9788184830972-dainandin-dasbodh,Out of Stock,,315.00 INR,,matched catalog product via slug,2026-07-16T10:54:51Z
9788192746531,PoliceKaka,akshardhara,https://akshardhara.com/products/9788194870135-shahid-bhagatsinh-yanchi-jail-diary,In Stock,,280.00 INR,,matched catalog product via slug,2026-07-16T10:54:51Z
